hashtag	num_langs	de_count	en_count	es_count	pt_count	tr_count	pl_count
oscars	2	0	0	4332	82	0	0
libros	2	0	0	1876	2	0	0
ps4live	2	0	0	10270	99	0	0
viaal1	2	0	0	5546	6	0	0
europa	2	0	0	3380	3	0	0
laresistencia	2	0	0	3542	2	0	0
cádiz	2	0	0	1567	4	0	0
spain	2	0	0	2759	2	0	0
wallapop	2	0	0	3796	1	0	0
mcjunior	2	0	0	1611	1	0	0
burgos	2	0	0	4524	1	0	0
factorx1	2	0	0	3568	2	0	0
del40al1cocacola	2	0	0	8026	7	0	0
halloween	2	0	0	3316	18	0	0
buenosdias	2	0	0	4719	4	0	0
nintendoswitch	4	425	0	9937	60	0	134
ytbattleroyale	2	0	0	3322	2	0	0
rt	4	91	0	1986	4	0	4563
svfinal2	2	0	0	6224	1	0	0
ghviplímite5	2	0	0	2648	4	0	0
pnygcnoserinden	2	0	0	3036	1	0	0
buenasnoches	2	0	0	8150	2	0	0
bilbao	2	0	0	2013	2	0	0
otdirecto20oct	2	0	0	1722	8	0	0
google	2	0	0	3204	5	0	0
zaragoza	2	0	0	3288	2	0	0
youtube	2	0	0	2521	16	0	0
otdirecto22sep	2	0	0	2950	12	0	0
nuevafotodeperfil	2	0	0	2648	6	0	0
ghdúogala5	2	0	0	3994	1	0	0
otdirecto30sep	2	0	0	1579	4	0	0
ghvip15s	2	0	0	2217	2	0	0
otchat	2	0	0	6770	6	0	0
pol	1	24	0	0	0	0	0
cop24	1	40	0	0	0	0	0
quran	1	321	0	0	0	0	0
saveshadowhunters	1	19	0	0	0	0	0
harrypotter	2	83	0	0	0	0	489
eurowizja	1	1	0	0	0	0	0
видео	1	2	0	0	0	0	0
