	country_pair	edges	cross_edges	fraction_cross	nodes_country1	nodes_country2
191	BY_NO	847989	89	0.00010495419162276869	97973	121260
192	AD_NO	525913	0	0.0	638	121257
193	IT_MD	5609174	60	1.0696762125760406e-05	926116	975
194	AM_MK	163830	8	4.883110541414881e-05	2247	13837
195	GE_SE	1794124	76	4.2360505739848526e-05	1312	314113
196	GE_LV	300756	5	1.6624772240620302e-05	1286	80637
197	AT_MD	161125	2	1.2412723041117144e-05	35941	973
198	GB_HU	48943600	20033	0.0004093078563898038	8242951	29051
199	AT_NO	683935	448	0.0006550330075226447	36020	121276
200	RU_SM	6699193	7	1.0449019755066022e-06	1382447	252
201	BY_DK	536503	92	0.0001714808677677478	97979	44330
202	CY_DE	3553308	211	5.938128639566286e-05	10638	576452
203	AL_AM	8103	2	0.0002468221646303838	297	2245
204	MD_ME	39892	0	0.0	973	6964
205	AL_RS	680959	14	2.0559240717869944e-05	300	89678
206	FI_SK	441722	16	3.622187710822644e-05	67757	1615
207	RU_UA	7377301	205571	0.02786533991225246	1385716	148203
208	LI_TR	15350016	575	3.7459244342155736e-05	213	3794867
209	GR_SM	672049	4	5.9519469562487255e-06	94926	248
210	GE_SK	4623	3	0.0006489292667099286	1285	1614
211	CH_PT	3366167	7184	0.0021341781319821626	72812	460549
212	BY_UA	808597	12604	0.015587492904376346	98855	145097
213	CZ_IE	2084989	664	0.000318466907978891	44660	399689
214	DK_HU	301360	193	0.0006404300504380143	44318	27239
215	BE_SI	910470	752	0.000825947038342834	191449	10040
216	GB_LT	48848597	3308	6.771944750020149e-05	8242371	4762
217	AD_IL	429090	0	0.0	638	39811
218	GE_PT	3110880	590	0.00018965694594455588	1432	460286
219	EE_NL	9431010	335	3.5521115978034164e-05	17004	1458454
220	LU_RS	684952	219	0.00031973043366542475	2767	89685
221	AZ_SM	97991	0	0.0	17798	248
222	LI_LT	10390	0	0.0	190	4481
223	LI_ME	38268	0	0.0	190	6964
224	AT_EE	197318	42	0.00021285437719822825	35948	16985
225	ES_IT	35087690	193989	0.005528691116457082	4896506	938560
226	IE_MK	2015818	104	5.159195919472889e-05	399628	13858
227	AZ_DK	311027	74	0.000237921466625084	17835	44307
228	GB_IT	54687409	245020	0.004480373169626669	8248208	939124
229	SE_SM	1792404	0	0.0	314108	248
230	GR_LI	672524	16	2.3790972515479003e-05	94933	192
231	BE_UA	1283721	5384	0.004194057743076572	191773	144833
232	FR_SM	23061769	117	5.07333153844356e-06	3152818	284
233	EE_RU	6743110	5684	0.0008429344916514784	17135	1382513
234	GB_LV	49143009	8540	0.00017377853277156878	8242506	80914
235	FI_MT	440466	7	1.589225956146445e-05	67755	1162
236	IL_SK	430610	6	1.393372192935603e-05	39813	1615
237	AT_CZ	384165	763	0.001986125753257064	36080	44717
238	AZ_GR	770383	775	0.0010059931229012063	18020	95128
239	BG_LU	49552	20	0.0004036164029706167	6736	2750
240	MD_RO	26204	106	0.004045183941382995	973	8276
241	BE_IS	841065	197	0.0002342268433474226	191355	6787
242	GR_LT	681614	70	0.00010269742112104505	94949	4486
243	FI_FR	23505209	4827	0.00020535873558920494	67917	3153064
244	EE_MD	40756	1	2.4536264599077437e-05	16982	973
245	AM_CH	258556	152	0.0005878803818128375	2295	72291
246	BY_CY	351790	23	6.537991415333011e-05	97968	10603
247	RO_RS	705618	1124	0.0015929298855754813	8361	89723
248	HR_IS	100261	2	1.9947935887334058e-05	9363	6784
249	BG_EE	83958	8	9.528573810714881e-05	6733	16982
250	AT_FR	23253910	33650	0.0014470684714957614	39190	3155153
251	HU_IT	5702293	7489	0.0013133313212772477	28400	926706
252	IS_MT	36804	0	0.0	6783	1160
253	AL_IL	428099	9	2.1023174546074624e-05	300	39814
254	AZ_LI	98456	2	2.0313642642398633e-05	17799	190
255	LI_RS	681374	0	0.0	190	89674
256	IS_ME	72881	1	1.3720997242079555e-05	6784	6964
257	AL_LI	925	0	0.0	295	190
258	GR_UA	1144941	352	0.0003074394226427388	94977	144703
259	AL_PL	2400792	98	4.081986277861639e-05	319	229109
260	HR_RU	6764203	261	3.858547710646768e-05	9414	1382474
261	BY_LU	327278	7	2.1388544295675235e-05	97964	2743
262	CH_MK	407306	786	0.0019297530603526586	72327	13873
263	AT_SK	161855	271	0.0016743381421642828	35973	1656
264	BE_RS	1487420	1144	0.0007691169945274368	191490	89813
265	AZ_NO	622534	92	0.00014778309297162887	17820	121259
266	MD_SI	106440	0	0.0	973	9973
267	DK_UA	686323	389	0.0005667885237708775	44330	144681
268	BE_HR	871098	549	0.0006302390775779534	191454	9457
269	CY_RU	6727987	483	7.178967498004976e-05	10631	1382448
270	BY_SM	323455	6	1.854972098128024e-05	97969	249
271	AT_TR	15527519	19933	0.0012837208571440163	37084	3795347
272	BY_GB	49161556	2745	5.583631242265806e-05	98194	8242421
273	IL_LV	726751	16	2.2015793579919394e-05	39818	80637
274	DE_ES	32881041	69588	0.002116356352586282	580095	4888797
275	SE_SI	1896635	306	0.00016133837032428485	314113	9994
276	DK_IT	5822652	2663	0.0004573517359443772	44457	926409
277	AD_UA	474006	0	0.0	638	144661
278	PL_RS	3082156	1013	0.0003286660376697351	229153	89765
279	IL_RS	1108658	119	0.00010733697858131183	39818	89690
280	LV_RS	979645	55	5.61427864175288e-05	80639	89681
281	DE_NL	13028129	111343	0.008546353816422912	582004	1465303
282	AZ_SK	100544	5	4.9729471674092936e-05	17802	1613
283	NO_SM	524880	1	1.9051973784484072e-06	121257	248
284	PT_SK	3111310	116	3.728333081563714e-05	460199	1651
285	BA_NL	9399727	499	5.3086648154781514e-05	3564	1458446
286	IT_MK	5764922	2140	0.0003712105731872868	926261	14114
287	AZ_FI	536750	29	5.402887750349325e-05	17813	67760
288	AL_FR	23062014	328	1.4222521935855211e-05	372	3152835
289	BA_LU	11098	55	0.004955847900522617	3479	2749
290	GR_HU	760293	471	0.000619498009320091	95044	27297
291	EE_IT	5645564	297	5.2607675690152484e-05	17002	926139
292	BE_ES	30118906	26439	0.0008778207282827603	193207	4886617
293	AM_SM	8068	1	0.00012394645513138323	2243	248
294	BE_DE	4439397	109253	0.024609873818448768	198036	581113
295	BG_BY	368865	134	0.00036327653748661435	6740	97969
296	ME_RU	6736976	413	6.130346909355177e-05	6991	1382462
297	CY_FR	23090387	417	1.8059463446844785e-05	10681	3152836
298	RO_SK	26591	32	0.0012034146891805497	8286	1627
299	IT_PT	8751923	36678	0.004190850399392225	930562	465054
300	LI_PT	3109133	24	7.719193743078858e-06	195	460183
301	AM_PT	3116993	708	0.0002271419922983465	2423	460317
302	BA_DE	3532349	777	0.00021996693984654403	3616	576542
303	GE_GR	673877	188	0.00027898266300823446	1355	94964
304	AM_BE	813519	87	0.00010694280035254247	2270	191359
305	DE_LV	3824945	1487	0.0003887637600017778	576556	80755
306	AD_SM	1462	0	0.0	638	248
307	CY_ES	29316400	980	3.3428388205918873e-05	10755	4885294
308	CZ_ES	29514421	2953	0.0001000527843659884	44965	4885456
309	AL_RO	24056	11	0.0004572663784502827	302	8279
310	AL_DE	3524921	108	3.0638984533270394e-05	335	576447
311	AM_LV	306749	3	9.77998298282961e-06	2243	80637
312	LU_RU	6703165	157	2.342177165562835e-05	2767	1382449
313	CZ_NL	9618669	1868	0.00019420566400611144	44801	1458642
314	MK_UA	628747	20	3.18092969032059e-05	13840	144667
315	CY_IT	5635735	390	6.920126656061721e-05	10686	926151
316	TR_UA	15824226	2704	0.00017087723595454212	3794936	144830
317	AT_ES	29453342	7632	0.0002591216983118588	36937	4885807
318	BE_SK	808581	240	0.0002968162744363273	191374	1673
319	EE_LU	42499	9	0.00021176968869855763	16983	2742
320	BA_BE	812731	145	0.00017841081489447308	3531	191377
321	DK_RS	894465	592	0.0006618481438625324	44328	89711
322	FR_LU	23075074	9600	0.000416033335364385	3153010	3322
323	MT_SE	1793723	18	1.0034994254965789e-05	1163	314111
324	AT_LV	457819	104	0.00022716401023111754	35955	80639
325	AM_SE	1800109	66	3.6664446430743914e-05	2254	314115
326	IE_LV	2159169	531	0.00024592794727971735	399670	80658
327	CH_EE	289054	49	0.00016951849827367898	72287	16990
328	DK_MK	369469	324	0.0008769341947497625	44302	13839
329	AM_DE	3532731	313	8.860000945444191e-05	2316	576477
330	AZ_SI	201926	10	4.9523092618087814e-05	17803	9979
331	GR_ME	709541	119	0.00016771405739766977	94956	7012
332	LU_TR	15352997	197	1.2831370969459578e-05	2795	3794864
333	AL_BY	323483	0	0.0	295	97964
334	CZ_UA	699843	2505	0.003579374231077542	44788	144758
335	IT_SK	5609965	390	6.951915029772913e-05	926154	1707
336	MK_SE	1948413	254	0.00013036250527993808	13851	314114
337	BY_IE	2183253	273	0.0001250427687492013	97985	399652
338	FI_IE	2300428	1739	0.0007559462847783108	67801	399751
339	DE_ME	3562629	473	0.00013276712225718704	576565	7035
340	CY_IL	456421	47	0.00010297510412535795	10614	39822
341	GE_PL	2402474	170	7.076039116344236e-05	1316	229111
342	CY_DK	241733	25	0.00010341988888567139	10605	44303
343	BG_MK	201895	430	0.00212981995591768	6767	13851
344	HU_SI	192581	451	0.0023418717318946314	27222	9992
345	LI_SK	3439	0	0.0	190	1612
346	NL_SK	9395256	273	2.9057217812904726e-05	1458434	1659
347	FI_RS	1119956	315	0.000281261049541232	67765	89706
348	LU_RO	27862	29	0.0010408441605053477	2752	8285
349	GR_IS	707132	12	1.696995751853968e-05	94930	6784
350	BE_PL	3214375	8350	0.0025977056192883533	192190	229874
