	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist
294	CZ_GB	CZ	0.0778353831865631	1.70923271117662	1.04061421241094	0.845860574727283	0.696923147817253			GB	CZ	CZE	CZ	cs	10629928.0	GB	GB	GBR	en	66460344.0	40000.0	9200.0	752735.0	9063422.0	484685.0	4820072.0	0.04559626368118392	0.07252553492651197	0.0708128032475855	0.13637338380312927	0.004413344098950706	0.012222096753837671	-55830416.0	0.1599439208439848	0	0	1036.98803710938	8365470.5	3333245.25	1.0	0.0	10669.709	66834.40400000001	CZE	GBR	250680504.53	2829108219.166	23.495	42.33	1.0	1.0	1.0	3.0	0.0	0.0100671140939597	0.0	1	2	15.939623137085496	15.019456936941063	9.275164071196619	11.109973256882459	19.33968979596433	21.76322738203932	3.1567876325547792	3.745496054532832	-1.0	6.944075672106458
295	CZ_IE	CZ	0.192024413511698	1.76650994121422	1.08148555329325	0.92073845051631	0.705505644549541			IE	CZ	CZE	CZ	cs	10629928.0	IE	IE	IRL	en	4867316.0	6539.0	1156.0	752735.0	836534.0	484685.0	770861.0	0.04559626368118392	0.1583749647649752	0.0708128032475855	0.17186761656732374	0.007816777321662957	0.0015357330268952554	5762612.0	2.1839403893233973	0	0	1465.21752929688	875392.375	1539138.906	1.0	1.0	10669.709	4941.444	CZE	IRL	250680504.53	388698711.3480001	23.495	78.661	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	13.682427493397135	14.246733666058011	9.275164071196619	8.505412875160706	19.33968979596433	19.778315080530103	3.1567876325547792	4.365147479864629	0.0	7.289758994590178
296	CZ_PL	CZ	0.165130473174893		0.853524592666908					PL	CZ	CZE	CZ	cs	10629928.0	PL	PL	POL	pl	37974750.0	4836.0	26000.0	752735.0	656454.0	484685.0	4294300.0	0.04559626368118392	0.11308303543802131	0.0708128032475855	0.01728659174846444	0.0073668528183239036	0.034540708217367336	-27344822.0	0.2799209474716753	1	0	516.662780761719	11229512.0	16088212.5	1.0	1.0	10669.709	37970.875	CZE	POL	250680504.53	595858207.012	23.495	15.693	1.0	1.0	1.0	1.0	9.0	0.0033557046979865	0.0215827338129496	3	0	16.23405587073926	16.59359741895008	9.275164071196619	10.54457469746915	19.33968979596433	20.205513289027113	3.1567876325547792	2.7532147530565836	0.0	6.2473904001105485
297	CZ_SI	CZ	0.111742224547483							SI	CZ	CZE	CZ	cs	10629928.0	SI	SI	SVN	sl	2073894.0	649.0	584.0	752735.0	380222.0	484685.0	171202.0	0.04559626368118392	0.0825509886233337	0.0708128032475855	0.18333723902957433	0.001706897549326446	0.000775837446113174	8556034.0	5.125588868090655	0	1	448.933990478516	958568.5	1146558.9375	1.0	1.0	10669.709	2087.946	CZE	SVN	250680504.53	54174227.30899999	23.495	25.946	1.0	1.0	1.0					3	0	13.773196304746305	13.952275786413256	9.275164071196619	7.643936086599135	19.33968979596433	17.80771584241465	3.1567876325547792	3.256017455148821	0.0	6.106875862410097
298	AT_CZ	CZ		1.87072555732152	2.88305421043685		2.7675518412951			AT	CZ	CZE	CZ	cs	10629928.0	AT	AT	AUT	de	8840521.0	39630.0	4800.0	752735.0	1593398.0	484685.0	510455.0	0.04559626368118392	0.057740375256164204	0.0708128032475855	0.18023801990855517	0.024871375513211388	0.0063767461324370465	1789407.0	1.202409676986232	1	1	252.447891235352	8346046.5	6419722.0	1.0	1.0	10669.709	8877.067	CZE	AUT	250680504.53	445075391.688	23.495	50.138000000000005	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	15.937298511649386	15.674885372547893	9.275164071196619	9.091226488634744	19.33968979596433	19.913754245304244	3.1567876325547792	3.914779203621863	0.0	5.531204856072778
299	CZ_DE	CZ		1.93241386352178	2.96467978367592		2.9124829536613			DE	CZ	CZE	CZ	cs	10629928.0	DE	DE	DEU	de	82905782.0	93000.0	16700.0	752735.0	12035240.0	484685.0	4142199.0	0.04559626368118392	0.04996272756947157	0.0708128032475855	0.14516767961973992	0.0077273074737188455	0.02218576258577056	-72275854.0	0.12821696802763408	1	0	545.625549316406	61299894.0	50543520.0	1.0	1.0	10669.709	83132.797	CZE	DEU	250680504.53	3861123558.039	23.495	46.445	1.0	1.0	1.0	0.0	2.0	0.0	0.0014695077149155	1	2	17.93128867170429	17.738345305302747	9.275164071196619	11.328194572055592	19.33968979596433	22.074224055280574	3.1567876325547792	3.8382688168394843	0.0	6.301932933358823
300	CZ_SI	SI	0.0190425492309139		0.853382586286819		0.700792899986528			CZ	SI	SVN	SI	sl	2073894.0	CZ	CZ	CZE	cs	10629928.0	584.0	649.0	380222.0	752735.0	171202.0	484685.0	0.0825509886233337	0.04559626368118392	0.18333723902957433	0.0708128032475855	0.000775837446113174	0.001706897549326446	-8556034.0	0.19509953407022135	0	1	448.933990478516	1146558.9375	958568.5	1.0	1.0	2087.946	10669.709	SVN	CZE	54174227.30899999	250680504.53	25.946	23.495	1.0	1.0	1.0					3	0	13.952275786413256	13.773196304746305	7.643936086599135	9.275164071196619	17.80771584241465	19.33968979596433	3.256017455148821	3.1567876325547792	0.0	6.106875862410097
301	GB_SI	SI	0.134678990224498	2.31370112014907	1.97066437094688		0.929446280912024			GB	SI	SVN	SI	sl	2073894.0	GB	GB	GBR	en	66460344.0	1883.0	1166.0	380222.0	9063422.0	171202.0	4820072.0	0.0825509886233337	0.07252553492651197	0.18333723902957433	0.13637338380312927	0.00020775817345810446	0.0030666294954000556	-64386450.0	0.0312049844340258	0	0	1230.75622558594	613304.7185	418930.28150000004	1.0	0.0	2087.946	66834.40400000001	SVN	GBR	54174227.30899999	2829108219.166	25.946	42.33	1.0	1.0	1.0					1	2	13.326617185209132	12.945459792458058	7.643936086599135	11.109973256882459	17.80771584241465	21.76322738203932	3.256017455148821	3.745496054532832	-1.0	7.11538407699313
302	IE_SI	SI	0.250638112519828	2.36917950861743	1.97408423871674		0.941149975969666			IE	SI	SVN	SI	sl	2073894.0	IE	IE	IRL	en	4867316.0	225.0	97.0	380222.0	836534.0	171202.0	770861.0	0.0825509886233337	0.1583749647649752	0.18333723902957433	0.17186761656732374	0.0002689669517317885	0.00025511411754185713	-2793422.0	0.4260857523941326	0	0	1689.87756347656	48609.17	141877.297	1.0	1.0	2087.946	4941.444	SVN	IRL	54174227.30899999	388698711.3480001	25.946	78.661	1.0	1.0	1.0					1	2	10.791567475217734	11.862717857395113	7.643936086599135	8.505412875160706	17.80771584241465	19.778315080530103	3.256017455148821	4.365147479864629	0.0	7.432411357645655
303	DE_DK	DK	0.559940166262087							DE	DK	DNK	DK	da	5793636.0	DE	DE	DEU	de	82905782.0	22000.0	29110.0	557573.0	12035240.0	259282.0	4142199.0	0.04475289783479666	0.04996272756947157	0.09623887313597196	0.14516767961973992	0.0018279652088367161	0.052208410378551326	-77112146.0	0.06988217058250533	1	0	595.853576660156	16011782.5	21316905.0	1.0	1.0	5818.553000000001	83132.797	DNK	DEU	350104327.65900004	3861123558.039	60.17	46.445	1.0	1.0	1.0	1.0	2.0	0.0082644628099173	0.0014695077149155	2	1	16.588835415440016	16.875010977868364	8.668806884383505	11.328194572055592	19.67374174705672	22.074224055280574	4.09717388923226	3.8382688168394843	0.0	6.38999496013717
